'y-axis saved as y
'x,CLR_4N_051D_XRD_20190814.raw,Diff,Ycalc
44.9773415,1075,-18.2041733,1093.20417
45.0079466,1070,-21.6535495,1091.65355
45.0385516,1075,-15.1269685,1090.12697
45.0691566,1058,-30.6245689,1088.62457
45.0997617,1061,-26.1464652,1087.14647
45.1303667,1100,14.3072523,1085.69275
45.1609718,1058,-26.2634828,1084.26348
45.1915768,1091,8.14128698,1082.85871
45.2221818,1176,94.5215432,1081.47846
45.2527869,1038,-42.1227089,1080.12271
45.2833919,1050,-28.7914403,1078.79144
45.3139969,1074,-3.48459834,1077.4846
45.344602,1093,16.797893,1076.20211
45.375207,1078,3.05613301,1074.94387
45.405812,1074,0.290244319,1073.70976
45.4364171,1071,-1.49962768,1072.49963
45.4670221,1100,28.6866852,1071.31331
45.4976271,1103,32.8493736,1070.15063
45.5282322,1077,7.98865045,1069.01135
45.5588372,1163,95.1047506,1067.89525
45.5894423,1047,-19.8020693,1066.80207
45.6200473,1061,-4.73153124,1065.73153
45.6506523,1094,29.3166638,1064.68334
45.6812574,1088,24.3428356,1063.65716
45.7118624,1098,35.3473244,1062.65268
45.7424674,1092,30.3304905,1061.66951
45.7730725,1059,-1.70728622,1060.70729
45.8036775,1117,57.2343933,1059.76561
45.8342825,1054,-4.84405292,1058.84405
45.8648876,1105,47.0578115,1057.94219
45.8954926,1037,-20.0595593,1057.05956
45.9260976,1122,65.8043068,1056.19569
45.9567027,1047,-8.35010163,1055.3501
45.9873077,1035,-19.5222791,1054.52228
46.0179127,1105,51.2882958,1053.7117
46.0485178,1125,72.0821599,1052.91784
46.0791228,1102,49.8598651,1052.14013
46.1097279,1062,10.6219779,1051.37802
46.1403329,1150,99.3690784,1050.63092
46.1709379,1054,4.10176026,1049.89824
46.201543,1032,-17.1793702,1049.17937
46.232148,1015,-33.4736946,1048.47369
46.262753,1022,-25.7805827,1047.78058
46.2933581,1133,85.9006064,1047.09939
46.3239631,1087,40.5705241,1046.42948
46.3545681,1078,32.2298315,1045.77017
46.3851732,1021,-24.1208012,1045.1208
46.4157782,1045,0.519304608,1044.4807
46.4463832,1043,-0.84916476,1043.84916
46.4769883,1084,40.7744842,1043.22552
46.5075933,1048,5.39095158,1042.60905
46.5381983,994,-47.999057,1041.99906
46.5688034,1011,-30.3948306,1041.39483
46.5994084,1046,5.20434591,1040.79565
46.6300135,1047,6.79919167,1040.20081
46.6606185,1083,43.3904287,1039.60957
46.6912235,1071,31.9787812,1039.02122
46.7218286,1035,-3.43502463,1038.43502
46.7524336,1004,-33.850262,1037.85026
46.7830386,1047,9.73379623,1037.2662
46.8136437,1045,8.3178767,1036.68212
46.8442487,1050,13.9027048,1036.0973
46.8748537,970,-65.5109959,1035.511
46.9054588,1007,-27.9225046,1034.9225
46.9360638,1056,21.6688963,1034.3311
46.9666688,1006,-27.7360799,1033.73608
46.9972739,1062,28.8632756,1033.13672
47.0278789,1056,23.467666,1032.53233
47.058484,1028,-3.92221173,1031.92221
47.089089,998,-33.3056675,1031.30567
47.119694,1073,42.3179812,1030.68202
47.1502991,1080,49.9494087,1030.05059
47.1809041,1035,5.58928006,1029.41072
47.2115091,1038,9.23825095,1028.76175
47.2421142,992,-36.1030335,1028.10303
47.2727192,1068,40.566061,1027.43394
47.3033242,1058,31.2461568,1026.75384
47.3339293,1046,19.937864,1026.06214
47.3645343,978,-47.3582203,1025.35822
47.3951393,974,-50.6415126,1024.64151
47.4257444,968,-55.9114439,1023.91144
47.4563494,1049,25.8325401,1023.16746
47.4869544,984,-38.409022,1022.40902
47.5175595,1017,-4.63560759,1021.63561
47.5481645,964,-56.846711,1020.84671
47.5787696,938,-82.0418437,1020.04184
47.6093746,1082,62.7794649,1019.22054
47.6399796,1053,34.6176668,1018.38233
47.6705847,973,-44.5268047,1017.5268
47.7011897,1020,3.34646386,1016.65354
47.7317947,1008,-7.7621338,1015.76213
47.7623998,989,-25.8522247,1014.85222
47.7930048,1017,3.07654332,1013.92346
47.8236098,1002,-10.9754993,1012.9755
47.8542149,990,-22.0080438,1012.00804
47.8848199,1024,12.9791961,1011.0208
47.9154249,997,-13.0135161,1010.01352
47.94603,1010,1.0140599,1008.98594
47.976635,994,-13.937859,1007.93786
48.00724,1026,19.13092,1006.86908
48.0378451,994,-11.7794343,1005.77943
48.0684501,1014,9.3312222,1004.66878
48.0990552,978,-25.5369913,1003.53699
48.1296602,931,-71.3839806,1002.38398
48.1602652,1009,7.79032307,1001.20968
48.1908703,1012,11.9859629,1000.01404
48.2214753,982,-16.7970439,998.797044
48.2520803,1025,27.4412942,997.558706
48.2826854,960,-36.2990576,996.299058
48.3132904,1034,38.9818395,995.01816
48.3438954,977,-16.7161019,993.716102
48.3745005,938,-54.3929959,992.392996
48.4051055,961,-30.048983,991.048983
48.4357105,970,-19.6842302,989.68423
48.4663156,971,-17.2989315,988.298931
48.4969206,953,-33.8933069,986.893307
48.5275257,923,-62.4676036,985.467604
48.5581307,1035,50.9779054,984.022095
48.5887357,980,-2.55707985,982.55708
48.6193408,1010,28.9271148,981.072885
48.6499458,961,-18.5698627,979.569863
48.6805508,968,-10.0483904,978.04839
48.7111559,1021,44.4911282,976.508872
48.7417609,985,10.0482637,974.951736
48.7723659,955,-18.377438,973.377438
48.802971,956,-15.7864564,971.786456
48.833576,932,-38.1792952,970.179295
48.864181,940,-28.5564825,968.556483
48.8947861,909,-57.9185704,966.91857
48.9253911,999,33.733866,965.266134
48.9559961,1000,36.4002281,963.599772
48.9866012,1013,51.0798951,961.920105
49.0172062,919,-41.227776,960.227776
49.0478113,941,-17.5234495,958.52345
49.0784163,934,-22.8078109,956.807811
49.1090213,932,-23.0815658,955.081566
