'y-axis saved as y
'x,CLR_4N_056A_XRD_20190819.raw,Diff,Ycalc
20.6571177,4346,-30.4760046,4376.476
20.6928795,4212,-153.794649,4365.79465
20.7286413,4275,-80.0451382,4355.04514
20.7644031,4331,-13.2285736,4344.22857
20.8001649,4188,-145.346052,4333.34605
20.8359267,4138,-184.398668,4322.39867
20.8716885,4161,-150.387514,4311.38751
20.9074503,4193,-107.313677,4300.31368
20.9432121,4101,-188.178243,4289.17824
20.978974,4223,-54.9822938,4277.98229
21.0147358,4216,-50.7269091,4266.72691
21.0504976,4271,15.586836,4255.41316
21.0862594,4085,-159.04213,4244.04213
21.1220212,4095,-137.614877,4232.61488
21.157783,4100,-121.132468,4221.13247
21.1935448,4056,-153.595965,4209.59597
21.2293066,3958,-240.006425,4198.00643
21.2650684,3948,-238.364902,4186.3649
21.3008302,4061,-113.672444,4174.67244
21.336592,3970,-192.930097,4162.9301
21.3723538,4129,-22.1389015,4151.1389
21.4081156,4065,-74.2998954,4139.2999
21.4438774,3873,-254.414111,4127.41411
21.4796392,3842,-273.482576,4115.48258
21.515401,3775,-328.506315,4103.50632
21.5511628,3886,-205.486347,4091.48635
21.5869246,3903,-176.423688,4079.42369
21.6226864,3890,-177.319346,4067.31935
21.6584482,3878,-177.174328,4055.17433
21.69421,3957,-85.9896344,4042.98963
21.7299718,3764,-266.766261,4030.76626
21.7657336,3726,-292.5052,4018.5052
21.8014955,3757,-249.207436,4006.20744
21.8372573,3750,-243.873951,3993.87395
21.8730191,3774,-207.505721,3981.50572
21.9087809,3744,-225.103717,3969.10372
21.9445427,3729,-227.668906,3956.66891
21.9803045,3661,-283.202248,3944.20225
22.0160663,3736,-195.704698,3931.7047
22.0518281,3708,-211.177206,3919.17721
22.0875899,3608,-298.620719,3906.62072
22.1233517,3658,-236.036174,3894.03617
22.1591135,3697,-184.424507,3881.42451
22.1948753,3678,-190.786646,3868.78665
22.2306371,3736,-120.123513,3856.12351
22.2663989,3542,-301.436028,3843.43603
22.3021607,3612,-218.725101,3830.7251
22.3379225,3618,-199.991638,3817.99164
22.3736843,3455,-350.236542,3805.23654
22.4094461,3534,-258.460706,3792.46071
22.4452079,3434,-345.665021,3779.66502
22.4809697,3537,-229.850368,3766.85037
22.5167315,3483,-271.017627,3754.01763
22.5524933,3546,-195.167669,3741.16767
22.5882551,3441,-287.30136,3728.30136
22.624017,3466,-249.41956,3715.41956
22.6597788,3438,-264.523123,3702.52312
22.6955406,3476,-213.612898,3689.6129
22.7313024,3445,-231.689727,3676.68973
22.7670642,3433,-230.754446,3663.75445
22.802826,3334,-316.807885,3650.80788
22.8385878,3482,-155.850869,3637.85087
22.8743496,3382,-242.884215,3624.88422
22.9101114,3400,-211.908736,3611.90874
22.9458732,3401,-197.925238,3598.92524
22.981635,3379,-206.93452,3585.93452
23.0173968,3446,-126.937377,3572.93738
23.0531586,3299,-260.934595,3559.9346
23.0889204,3307,-239.926956,3546.92696
23.1246822,3326,-207.915235,3533.91524
23.160444,3275,-245.900202,3520.9002
23.1962058,3300,-207.882617,3507.88262
23.2319676,3285,-209.863239,3494.86324
23.2677294,3269,-212.842818,3481.84282
23.3034912,3344,-124.822096,3468.8221
23.339253,3249,-206.801813,3455.80181
23.3750148,3276,-166.782699,3442.7827
23.4107766,3318,-111.765479,3429.76548
23.4465385,3145,-271.750872,3416.75087
23.4823003,3302,-101.739591,3403.73959
23.5180621,3243,-147.732342,3390.73234
23.5538239,3167,-210.729825,3377.72983
23.5895857,3237,-127.732734,3364.73273
23.6253475,3224,-127.741754,3351.74175
23.6611093,3153,-185.757569,3338.75757
23.6968711,3135,-190.780851,3325.78085
23.7326329,3239,-73.8122696,3312.81227
23.7683947,3189,-110.852487,3299.85249
23.8041565,3043,-243.902157,3286.90216
23.8399183,3052,-221.961931,3273.96193
23.8756801,3147,-114.032451,3261.03245
23.9114419,3092,-156.114353,3248.11435
23.9472037,3075,-160.208268,3235.20827
23.9829655,3059,-163.31482,3222.31482
24.0187273,3121,-88.4346267,3209.43463
24.0544891,3034,-162.568299,3196.5683
24.0902509,3073,-110.716442,3183.71644
24.1260127,3079,-91.8796676,3170.87967
24.1617745,3066,-92.0589639,3158.05896
24.1975363,3059,-86.2607604,3145.26076
24.2332982,2976,-156.52457,3132.52457
24.26906,3033,-86.9295335,3119.92953
24.3048218,2982,-125.39058,3107.39058
24.3405836,2990,-104.709104,3094.7091
24.3763454,3048,-34.0192696,3082.01927
24.4121072,2974,-95.3495449,3069.34954
24.447869,2849,-207.701927,3056.70193
24.4836308,2942,-102.077149,3044.07715
24.5193926,3010,-21.475967,3031.47597
24.5551544,2997,-21.8991589,3018.89916
24.5909162,2996,-10.3475328,3006.34753
24.626678,2959,-34.8219459,2993.82195
24.6624398,2942,-39.3236848,2981.32368
24.6982016,2960,-8.85961836,2968.85962
24.7339634,2904,-52.470325,2956.47033
24.7697252,2958,13.7626606,2944.23734
24.805487,2764,-168.077354,2932.07735
